Id,BuiltArea,LotArea,Bedrooms,Bathrooms,Floors,Age,DistanceToCityCenter,SchoolRating,CrimeIndex,HasParking,HasGym,HasSwimmingPool,FurnishingType,SalePrice
69,1680.818013,1983.551554,1,3,3,24,3.319985254,7,39.66209474,0,0,0,Fully-Furnished,108.8316429
70,1177.440123,2231.346938,3,4,1,1,10.71185316,4,33.04590024,1,0,1,Fully-Furnished,127.434455
71,1680.697803,1056.861207,5,3,1,23,7.79081145,10,22.26687446,1,1,1,Unfurnished,118.7121928
72,2269.018283,1824.264438,3,2,3,35,6.766486123,5,41.74718252,0,1,0,Unfurnished,135.1905311
73,1482.08698,2487.620836,2,3,1,24,3.558583356,10,57.32178588,1,0,0,Semi-Furnished,108.5431772
74,2282.321828,755.7010129,2,1,1,33,3.358508089,3,55.92005179,0,1,1,Semi-Furnished,96.0390739
75,400,2160.676074,1,3,3,11,15.7436562,2,54.06910179,0,1,0,Unfurnished,70.46522153
76,1910.951252,2080.632858,4,2,2,18,5.490970149,2,75.04042264,0,0,1,Fully-Furnished,96.72218194
77,1543.523534,2033.029964,2,4,1,29,10.44211358,5,41.71426547,1,1,0,Fully-Furnished,97.06396009
78,1350.496325,2829.727119,2,2,3,36,8.65053788,4,56.49220186,1,1,0,Unfurnished,126.7481608
79,1545.880388,2267.550812,3,4,1,0,0.5,2,44.17515898,1,0,1,Unfurnished,149.6917996
80,506.2155427,3182.457519,3,1,1,2,15.16980329,5,71.32812077,0,1,0,Unfurnished,87.38382222
81,1390.164056,,2,1,3,25,10.73633592,10,37.87278195,1,1,0,Unfurnished,133.4110617
82,1678.556286,2108.739654,1,3,3,14,4.929319383,9,61.15013522,0,0,0,Fully-Furnished,118.1942761
83,2238.947022,2067.573429,3,1,1,27,7.886533982,8,53.74642518,0,0,0,Fully-Furnished,124.7991519
84,1240.864891,1144.596405,2,1,1,3,3.40326653,9,68.28996217,1,0,0,Semi-Furnished,119.7514711
85,1095.753199,2765.036002,4,2,2,18,15.30488191,,50.13881165,1,1,0,Unfurnished,119.4818611
86,1249.121478,3859.738645,3,2,2,23,4.369369167,8,46.45057894,0,0,1,Semi-Furnished,134.4180063
87,1957.701059,1986.39514,2,3,3,39,5.907664013,9,44.63954174,0,1,0,Fully-Furnished,134.731737
88,1664.375555,2404.016871,5,3,1,5,5.081755687,4,47.70171026,1,1,0,Semi-Furnished,149.1872987
89,1235.119898,2067.614781,3,3,3,15,8.321517601,8,22.02096258,1,0,1,Fully-Furnished,112.938044
90,1756.633717,1429.132264,5,3,3,31,13.481266,2,42.18040527,0,1,0,Fully-Furnished,97.95471206
91,1548.538775,543.3917778,3,2,1,29,15.1574978,9,41.26931166,1,1,1,Semi-Furnished,95.45342024
92,,1435.381214,3,3,2,34,6.404015423,9,32.89427623,1,0,0,Semi-Furnished,122.0804634
93,1148.973453,886.4332952,5,3,3,7,9.513035929,3,41.58429476,0,0,0,Unfurnished,75.08027234
94,1336.168927,3363.281662,1,1,3,4,8.32762165,6,36.5310006,1,1,0,Fully-Furnished,138.1169168
95,1303.945923,1907.912245,2,3,1,36,4.073562942,,42.29881293,0,1,1,Unfurnished,103.3954705
96,768.2425259,1723.264537,1,4,2,11,17.6902223,3,59.366958,1,1,0,Unfurnished,86.14027123
97,1648.060139,2711.32306,1,1,2,24,13.45103825,5,59.40453997,0,1,1,Fully-Furnished,126.9110587
98,1630.527636,1102.599118,2,2,1,32,8.756463399,1,73.68015586,0,0,0,Semi-Furnished,59.93268892
99,1502.556728,,4,4,3,38,14.32750437,3,54.62170982,1,1,0,Unfurnished,88.57638656
100,1382.706433,2054.457815,1,3,1,23,12.84842685,8,27.19348973,1,1,1,Unfurnished,117.9151925
101,792.314629,2823.015193,1,1,1,10,8.327445364,3,45.06194284,1,1,0,Fully-Furnished,109.752733
102,1289.677339,,1,3,2,34,9.303854421,8,40.41400468,1,0,1,Semi-Furnished,102.1176902
103,1328.642742,2198.660114,4,1,3,39,14.04850457,9,35.26370194,0,0,0,Semi-Furnished,93.5820825
104,1098.861365,2062.494188,3,3,3,0,4.215385675,6,66.09419178,1,0,1,Unfurnished,148.25071
105,1419.357144,2320.188684,5,4,2,7,14.69476279,7,56.81753604,1,1,1,Fully-Furnished,147.9176148
106,1702.025428,,5,2,3,22,7.099549757,6,51.05483392,0,1,1,Unfurnished,129.2886504
107,2443.092951,1176.02218,4,4,3,19,14.09870697,8,27.73978632,0,1,0,Semi-Furnished,164.8847842
108,1587.288906,2036.863377,1,4,1,31,7.97909361,7,48.77099092,0,1,1,Unfurnished,123.4741612
109,1628.775195,1141.049073,5,2,1,10,9.35042489,10,84.89460028,1,1,1,Fully-Furnished,148.6863181
110,1462.777042,2064.866034,4,1,1,6,7.862766574,1,37.44825415,0,1,0,Unfurnished,124.951693
111,540.6143924,1615.481647,2,1,3,29,5.872625509,3,46.72886818,1,1,1,Semi-Furnished,124.8286505
112,1486.743062,4031.505298,5,2,3,38,6.919780407,3,70.83234469,0,1,0,Fully-Furnished,153.8855732
113,1530.115105,1968.084493,2,3,3,12,13.51644561,3,43.4209683,1,0,1,Fully-Furnished,106.1336016
114,2731.621056,876.608347,1,1,3,2,0.5,4,43.10343797,0,0,1,Fully-Furnished,156.7999657
115,1403.819518,1892.655831,5,4,2,6,3.044136221,1,46.56951917,0,0,1,Fully-Furnished,110.3481899
116,1650.773671,2415.486997,4,2,2,12,5.098113163,2,55.19890149,1,1,1,Fully-Furnished,150.2589137
117,1482.644115,3338.691157,3,4,3,36,3.68662083,5,35.96608586,1,0,1,Unfurnished,167.0319318
118,915.6609812,1528.43808,5,1,1,24,14.03991844,6,63.84965539,1,0,1,Fully-Furnished,70.68766946
119,2071.411407,734.0576208,5,2,1,22,13.03070791,9,44.08430857,0,0,0,Semi-Furnished,115.1799787
120,1875.966516,2653.469609,5,2,2,32,10.36812724,2,53.0945561,1,1,0,Fully-Furnished,135.0000847
121,1895.515974,895.5210353,5,1,2,4,5.44878373,9,43.74932549,0,1,0,Semi-Furnished,133.9210394
122,1045.306273,1651.075647,4,1,3,31,13.34020747,7,29.96695864,1,1,0,Semi-Furnished,72.71206556
123,2201.397155,1793.903612,4,2,3,29,1.647480296,9,17.06319846,1,0,0,Semi-Furnished,136.6718447
124,799.0744686,1944.293237,3,3,3,30,16.56793056,4,53.43068889,0,0,0,Semi-Furnished,74.91328531
125,1793.428547,2551.331566,4,2,3,12,5.261480811,7,22.76314353,0,0,1,Semi-Furnished,139.8649755
126,2595.227813,1453.092574,4,3,3,4,6.951859113,1,61.46625319,1,0,1,Unfurnished,136.7525427
127,1004.731837,1781.016598,1,4,1,22,6.282624598,8,51.90698498,0,1,1,Semi-Furnished,118.6345396
128,1216.851135,1988.583718,1,3,1,0,3.707570344,7,80.36309056,1,1,0,Semi-Furnished,106.364058
129,1549.825683,2119.678366,2,3,3,9,15.7004525,7,41.24416912,1,0,0,Semi-Furnished,112.8307456
130,1248.262173,2078.26174,3,1,1,26,11.15557852,2,76.01963309,1,1,1,Unfurnished,129.3927863
131,724.6682845,2348.80462,1,2,3,7,12.86188217,10,45.63718086,1,1,1,Fully-Furnished,127.2447835
132,1534.281487,2675.071608,3,4,3,2,3.105322912,,63.93603671,1,0,0,Semi-Furnished,146.4618706
133,968.8481431,2314.107293,3,2,2,18,8.723751308,8,58.18524082,1,0,0,Unfurnished,107.3673294
134,1736.796215,2362.868419,5,3,1,1,10.08411476,1,22.48889149,1,1,1,Unfurnished,148.1638582
135,1040.287883,734.2214666,3,3,1,30,9.083026094,1,97.90230204,1,1,0,Unfurnished,42.49390057
136,2274.967203,2040.182159,5,3,2,9,3.358506196,5,74.27781419,1,0,0,Fully-Furnished,153.3877585
137,1108.373354,2383.606038,2,2,1,15,12.30200008,2,55.96333034,1,1,0,Unfurnished,112.7921847
138,1338.969242,2583.152956,2,3,2,36,8.486200331,1,69.93212133,1,0,1,Semi-Furnished,101.3456398
139,1906.758609,1446.119381,2,2,1,19,4.180143857,10,54.1087094,0,1,0,Semi-Furnished,131.75128
140,884.5678418,1472.76858,5,4,3,2,0.578997842,,63.29121668,0,0,1,Semi-Furnished,127.4146558
141,1613.729967,1540.71946,5,4,2,34,10.42666605,4,52.34933172,1,1,1,Fully-Furnished,126.7052191
142,2153.571377,2429.13112,2,2,3,33,17.80182294,2,34.37910891,1,1,0,Unfurnished,102.2298588
143,696.2583827,2827.104844,5,4,3,20,3.938982907,5,48.47443879,1,0,1,Semi-Furnished,130.2411681
144,1592.316929,1674.031914,4,1,1,35,8.681788202,6,42.14915546,1,0,1,Semi-Furnished,130.7995858
145,1629.941397,2726.369851,4,3,2,31,12.44198912,8,59.48487237,0,1,1,Semi-Furnished,128.936824
146,1890.911436,2098.783847,5,3,3,17,2.921390936,7,34.19240607,0,1,1,Fully-Furnished,148.1123013
147,881.5246446,1900.571378,5,3,3,33,6.080172924,7,52.21662887,0,1,1,Semi-Furnished,118.8995447
148,839.7716935,1830.892616,1,1,2,37,4.559364883,1,28.85742638,1,0,1,Unfurnished,92.58265474
149,1760.970783,2597.289092,1,3,1,2,11.93870678,,61.56276742,0,0,0,Unfurnished,133.1571386
150,,2260.462253,3,2,3,2,13.30209028,3,31.71602644,0,0,0,Fully-Furnished,112.2422323
151,1625.246425,3820.660342,3,3,1,26,8.636145059,7,59.05480275,0,0,0,Fully-Furnished,140.8287241
152,1673.224105,1318.220286,3,2,2,1,4.633063724,2,51.76893868,0,1,1,Fully-Furnished,148.7660035
153,1159.987639,2414.481362,2,4,1,2,6.228836248,10,65.64208376,0,0,0,Unfurnished,105.7747431
154,1616.126849,1576.639192,4,2,2,16,5.478005943,7,47.73015394,1,0,0,Fully-Furnished,94.54407378
155,1646.536237,1304.57041,2,2,1,38,4.090924554,9,62.20903071,0,1,1,Fully-Furnished,118.2810644
156,1142.824291,1991.30629,5,2,1,37,7.591847197,1,52.23352122,0,1,1,Unfurnished,101.1107932
157,2432.887256,2109.881984,1,3,3,39,10.29930594,2,56.42420643,0,1,0,Semi-Furnished,115.3548519
158,1736.91646,4334.538844,5,1,1,18,9.961029778,6,23.12399773,1,0,0,Fully-Furnished,143.3031803
159,904.3482514,,5,1,3,18,7.967070542,2,40.34485534,0,1,0,Semi-Furnished,89.87913848
160,1828.276804,1095.857016,1,2,2,4,8.228215347,2,47.55408165,0,0,1,Semi-Furnished,119.9486443
161,1012.659165,2218.408574,5,3,2,4,7.67379682,,70.5551645,1,1,0,Semi-Furnished,131.2567487
162,1893.542302,500,3,1,3,13,2.811153843,7,55.18830197,1,0,0,Semi-Furnished,111.1034427
163,2079.29779,1926.434574,1,4,1,26,8.640539588,4,24.21667434,0,1,1,Fully-Furnished,122.7412875
164,1089.658841,2012.820226,5,4,2,35,5.665497658,6,56.56725573,0,0,1,Fully-Furnished,68.49781523
165,1981.688065,2635.680306,3,3,2,39,2.610627123,3,36.84071092,0,0,1,Fully-Furnished,139.5567744
166,1706.390463,2778.8978,3,4,2,34,9.482822268,4,38.14531323,1,1,0,Unfurnished,138.1409341
167,1911.03008,1597.144305,4,4,3,20,5.553079854,4,49.12785005,1,0,1,Unfurnished,131.2242684
168,2448.396491,1879.508788,3,4,2,4,8.911015685,4,54.1507124,0,0,1,Semi-Furnished,184.4429733
169,1377.305942,1387.103336,2,1,2,23,11.39055126,1,38.33476859,0,0,1,Unfurnished,70.3770781
170,1123.131918,1097.549956,1,4,2,38,4.199045115,4,23.7985261,0,1,1,Semi-Furnished,112.5013459
171,1055.242785,2247.915824,1,2,2,23,8.368485128,4,47.34271077,0,1,1,Semi-Furnished,110.8796359
172,1092.094858,981.1315611,1,2,3,39,0.758308473,6,46.64144204,0,1,0,Fully-Furnished,76.88636633
173,1461.449145,1668.29848,5,4,3,12,14.13013236,9,71.50346018,0,1,0,Fully-Furnished,91.41536049
174,1670.575987,1203.860832,5,2,1,37,2.563734012,10,50.64055101,0,0,0,Unfurnished,125.3634851
175,1638.3454,2439.746549,2,1,2,0,5.94072135,6,67.68211314,0,1,0,Fully-Furnished,126.2038811
176,1913.591625,3441.144079,3,3,3,38,13.35351962,,81.74212607,1,0,0,Unfurnished,155.6038098
177,1506.500946,958.7296138,5,2,1,9,7.061908296,7,33.39116186,0,1,1,Fully-Furnished,116.8571949
178,2226.767039,517.5852137,3,4,1,1,3.210409255,7,72.05891205,0,0,0,Fully-Furnished,144.4565226
179,1367.671583,1900.090492,3,3,2,15,10.85229293,1,63.98675398,1,1,1,Unfurnished,88.55416577
180,2860.084583,2012.558237,5,3,1,36,10.76212985,8,16.72917804,1,0,0,Semi-Furnished,135.9384617
181,1812.833674,,5,4,3,15,5.467254643,1,47.18037762,1,1,0,Unfurnished,131.4781785
182,1071.421222,1642.943588,2,2,1,22,5.900293917,9,60.58359676,0,1,0,Fully-Furnished,60.85704539
183,964.553751,,4,1,1,25,6.258364118,4,55.06811299,0,0,1,Semi-Furnished,92.9869722
184,1741.236208,2294.008328,1,2,3,15,7.171904157,9,74.86305081,0,1,0,Fully-Furnished,112.1349574
185,1388.268607,2832.344714,5,2,1,26,0.5,8,58.85435515,1,0,1,Fully-Furnished,148.735973
186,1857.000247,500,5,1,1,29,7.274304556,9,28.55320026,0,0,0,Fully-Furnished,66.99140982
187,1736.618812,1704.848449,3,3,1,32,15.13565679,6,61.88924071,0,1,1,Semi-Furnished,122.9472654
188,1463.585544,2171.047035,4,1,1,31,4.416120131,,32.85311575,0,1,0,Fully-Furnished,116.0053362
189,1076.603141,1265.619116,5,1,2,8,5.666025626,4,41.71063094,0,0,1,Unfurnished,111.3242344
190,742.5763877,3384.935705,4,4,2,10,3.265529347,3,66.47477548,1,1,1,Unfurnished,133.2026948
191,1276.742524,,1,4,3,36,10.44864771,3,64.78354426,0,0,0,Unfurnished,50.18748312
192,1928.199397,1966.96585,3,2,1,5,12.81278943,8,50.57504174,0,1,0,Semi-Furnished,145.1946156
193,1607.046872,2444.817677,2,4,3,29,12.72127136,2,39.13208168,0,1,0,Unfurnished,120.934536
194,877.1306106,1526.972169,1,1,2,39,3.007957644,,46.99769585,0,0,0,Fully-Furnished,83.10368558
195,1586.590463,522.7415618,4,1,1,14,9.999166922,9,48.3168815,1,0,0,Semi-Furnished,94.41014923
196,1692.65869,1657.076378,4,4,1,29,13.73500014,9,41.49989647,0,1,1,Fully-Furnished,147.1100759
197,1058.071282,2823.552445,1,4,2,17,10.03865243,8,67.03213694,1,1,0,Fully-Furnished,153.9923599
198,1576.862553,1730.483899,4,4,1,11,9.913638733,8,43.76836712,0,1,0,Fully-Furnished,141.5503875
199,1529.104359,,2,1,1,3,6.113429685,1,46.07405254,0,1,0,Unfurnished,75.25608988
200,928.5148511,2740.537768,2,3,2,15,8.880439295,7,46.48482248,1,0,0,Unfurnished,112.1321914
201,1678.89368,1735.380083,4,3,3,22,12.94527272,1,60.45780537,1,0,1,Semi-Furnished,99.2482868
202,1780.392263,1591.871349,4,4,3,10,9.312835874,9,53.81441445,0,1,1,Semi-Furnished,117.9278049
203,2041.525622,2119.564872,2,2,1,23,3.006900976,3,53.27398525,1,0,1,Unfurnished,128.3978178
204,2026.901026,2616.600168,4,2,2,21,6.175833303,1,35.86055028,0,1,1,Unfurnished,158.3807675
205,811.165316,3905.370825,5,3,3,38,12.83711816,8,53.52149153,0,1,1,Fully-Furnished,119.1583
206,1031.08748,2661.788886,3,4,3,14,9.298973281,7,61.19123494,1,1,1,Unfurnished,120.6785412
207,1757.517634,2927.871973,5,1,1,14,8.476248313,2,44.83396974,0,0,1,Fully-Furnished,125.717372
208,1756.892975,1595.227041,4,2,3,9,5.783937867,7,52.18863242,0,0,1,Unfurnished,158.5366565
209,1757.523843,1179.305515,4,2,2,27,12.75439672,5,63.81155722,1,0,0,Fully-Furnished,102.1442716
210,3426.365745,2049.86508,3,1,3,35,14.64965039,7,37.97880496,1,0,0,Unfurnished,152.3449915
211,1785.445255,2085.735932,4,1,2,16,13.05275649,10,38.18986047,0,1,0,Unfurnished,149.1511228
212,2067.78282,1137.189807,3,4,2,35,13.77036649,7,48.19184579,0,1,1,Semi-Furnished,117.7182574
213,1977.000882,1859.764376,2,1,1,21,6.565175037,2,61.70087639,0,0,1,Semi-Furnished,97.80452296
214,1825.695626,2319.454081,3,1,3,22,5.999323611,2,10,1,1,0,Fully-Furnished,120.6817254
215,1342.365378,2288.314716,3,1,1,28,7.374619306,7,47.066293,0,0,0,Semi-Furnished,85.32333681
216,1879.48461,2403.430283,5,3,3,21,8.154292968,3,39.4297944,0,0,0,Semi-Furnished,124.9726248
217,1113.587393,2232.771784,4,1,1,10,13.72407912,4,55.3617738,1,0,1,Unfurnished,100.6306432
218,1381.590697,1594.393073,2,2,1,35,12.66354696,7,48.52432686,0,0,1,Fully-Furnished,89.74912019
219,1257.318226,1588.879499,1,4,1,28,10.15387755,2,67.1415854,1,1,1,Semi-Furnished,85.98575958
220,1540.93707,1040.838882,3,4,3,31,2.275252937,2,59.745622,1,1,1,Semi-Furnished,120.5201348
221,2657.329283,3427.820031,1,4,1,13,1.247912622,9,46.58563437,0,1,1,Unfurnished,216.9280415
222,566.3674037,2010.760292,4,3,2,17,8.961850979,1,34.72417673,1,0,0,Unfurnished,75.43954684
223,1843.130095,1820.117555,3,2,3,37,11.52105282,3,55.24372048,0,0,1,Unfurnished,122.5470342
224,693.6420644,1256.966335,1,1,2,36,7.681731804,10,45.50954919,0,1,1,Fully-Furnished,79.6522292
225,1264.034067,4348.526322,5,2,1,33,15.65961802,4,46.93390785,1,1,1,Unfurnished,133.809713
226,2044.475298,1141.337574,1,4,1,22,3.670235825,5,32.56372346,1,0,1,Fully-Furnished,135.6642157
227,1532.14001,1656.92166,5,1,2,31,3.166592202,3,52.28971007,1,1,0,Unfurnished,115.3811528
228,961.127611,,2,4,1,2,5.342876102,9,42.38976272,0,0,1,Semi-Furnished,131.3897833
229,1142.348145,2480.170373,4,4,3,21,5.190811147,5,43.89544212,0,0,0,Fully-Furnished,103.0362849
230,1839.798874,2766.345644,1,4,2,22,10.10514347,7,10,1,1,0,Unfurnished,125.4382713
231,1134.816684,3446.086806,3,2,3,3,6.313152593,7,50.50085668,0,1,0,Unfurnished,103.5938462
232,1608.229295,2404.926124,4,2,3,12,1.808638155,9,35.72854691,1,0,1,Semi-Furnished,154.5069802
233,1522.78592,1155.17536,1,4,3,31,11.56631383,2,57.73952902,0,1,0,Semi-Furnished,69.93863378
234,1174.199826,1794.4439,3,4,1,28,0.960192296,3,51.06657611,0,0,0,Semi-Furnished,86.77718527
235,2571.972045,2246.265898,3,1,1,39,3.715127108,4,27.95540555,0,1,1,Unfurnished,144.9016154
236,1816.959511,3654.580833,3,4,2,39,1.509173717,8,48.44596133,0,0,0,Semi-Furnished,127.3979958
237,487.4287067,881.7556173,3,4,2,9,8.828485108,1,53.22406479,1,0,1,Semi-Furnished,97.64515533
238,1593.227157,2962.061204,1,4,3,12,8.744190849,9,81.29981806,0,0,0,Fully-Furnished,123.8369623
239,1169.106768,2143.931496,2,4,1,16,15.66581728,5,58.99051393,1,1,0,Fully-Furnished,107.8032658
240,1926.216667,2670.264428,5,2,1,37,11.65530662,4,30.6301827,0,1,1,Fully-Furnished,143.5474121
241,1103.739631,1918.404227,5,4,1,1,13.76658473,8,79.14770736,0,1,1,Unfurnished,90.25093
242,1442.631779,1326.053896,5,3,2,16,9.154438605,9,45.87680897,1,1,1,Fully-Furnished,119.6880024
243,1752.493639,2600.698224,2,4,1,25,4.092272716,3,45.81204494,0,1,1,Unfurnished,146.6927709
244,1932.877597,2523.544822,3,2,3,37,8.512430408,4,79.12837852,1,1,0,Semi-Furnished,106.9569087
245,899.8517965,2777.645573,3,3,3,36,10.36968403,1,40.57309098,0,0,0,Unfurnished,91.18073851
246,1332.749382,1989.356292,4,3,3,4,10.81522953,3,47.64295224,0,0,0,Unfurnished,93.10978031
247,1262.527344,1520.142381,5,4,1,24,6.110351424,10,25.53001794,0,1,1,Semi-Furnished,128.8715183
248,1173.335384,752.970404,5,4,3,8,9.955145895,5,49.41384801,1,1,1,Fully-Furnished,101.7873516
